FILE_VERSION	2.0.0
NO_OF_FRAMES	6129
NO_OF_CAMERAS	19
NO_OF_MARKERS	5
FREQUENCY	100
DESCRIPTION	--
TIME_STAMP	2024-10-29, 10:57:32.417	441368.71789840
DATA_INCLUDED	3D
MARKER_NAMES	RWristOut	RWristIn	RElbowOut	RElbowIn	Chest
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	RWristOut X	RWristOut Y	RWristOut Z	RWristIn X	RWristIn Y	RWristIn Z	RElbowOut X	RElbowOut Y	RElbowOut Z	RElbowIn X	RElbowIn Y	RElbowIn Z	Chest X	Chest Y	Chest Z	
1	0.00000	-938.154	1272.837	-1005.041	-929.097	1260.001	-916.030	-734.652	1270.541	-1031.830	-738.401	1212.741	-954.311	-320.258	1298.116	-889.972
2	0.01000	-938.123	1273.015	-1005.135	-929.089	1260.154	-916.147	-734.603	1270.670	-1031.895	-738.386	1212.824	-954.429	-320.285	1298.188	-889.979
3	0.02000	-938.080	1273.202	-1005.258	-929.065	1260.286	-916.266	-734.561	1270.820	-1031.956	-738.393	1212.907	-954.536	-320.313	1298.172	-889.877
4	0.03000	-938.159	1273.610	-1005.351	-928.799	1260.231	-916.385	-734.511	1270.962	-1032.013	-738.367	1212.990	-954.639	-320.138	1298.178	-889.995
5	0.04000	-937.986	1273.588	-1005.426	-928.770	1260.381	-916.468	-734.459	1271.083	-1032.040	-738.354	1213.114	-954.667	-320.072	1298.189	-889.997
6	0.05000	-938.057	1273.975	-1005.510	-928.769	1260.556	-916.533	-734.412	1271.196	-1032.077	-738.327	1213.212	-954.700	-320.001	1298.167	-890.008
7	0.06000	-938.026	1274.159	-1005.556	-928.722	1260.772	-916.590	-734.379	1271.301	-1032.089	-738.323	1213.313	-954.746	-319.961	1298.174	-889.999
8	0.07000	-938.003	1274.337	-1005.595	-928.688	1260.966	-916.610	-734.344	1271.382	-1032.102	-738.323	1213.453	-954.720	-319.902	1298.178	-890.004
9	0.08000	-937.992	1274.547	-1005.613	-928.662	1261.190	-916.615	-734.325	1271.475	-1032.142	-738.327	1213.589	-954.732	-319.857	1298.161	-890.007
10	0.09000	-937.834	1274.540	-1005.616	-928.654	1261.385	-916.618	-734.297	1271.569	-1032.150	-738.322	1213.678	-954.775	-319.817	1298.170	-890.009
11	0.10000	-937.825	1274.727	-1005.568	-928.647	1261.535	-916.599	-734.269	1271.659	-1032.134	-738.343	1213.760	-954.769	-319.770	1298.144	-890.012
12	0.11000	-937.770	1274.899	-1005.536	-928.626	1261.645	-916.583	-734.284	1271.744	-1032.109	-738.346	1213.841	-954.763	-319.752	1298.137	-890.015
13	0.12000	-937.753	1275.048	-1005.491	-928.612	1261.739	-916.533	-734.254	1271.836	-1032.074	-738.341	1213.875	-954.759	-319.679	1298.128	-890.030
14	0.13000	-937.717	1275.164	-1005.449	-928.576	1261.837	-916.494	-734.240	1271.895	-1032.034	-738.345	1213.917	-954.734	-319.647	1298.124	-890.020
15	0.14000	-937.688	1275.284	-1005.373	-928.570	1261.921	-916.424	-734.213	1271.956	-1032.004	-738.325	1213.949	-954.722	-319.586	1298.114	-890.037
